house_mnnmb,house_nm,spl_loca,spl_scale,ovhspz_yn,regtare_yn,prceilsys_yn,rebdproj_yn,pubhusdist_yn,lrscl_hussdedist_yn,npln_prvpubhus_yn,model_no,house_stl,splyar,gnrl_spl_hh_cnt,specl_spl_hh_cnt,mltchdrn_hshld_cnt,nwwds_hshld_cnt,lfe_frst_hshld_cnt,oldparnts_hshld_cnt,instt_rcmn_cnt,instt_rcmn_etc_cnt,rlct_instt_cnt,spl_amt,loan_posbl_amt
2020000001,SH 마곡지구 9단지,서울특별시 강서구 마곡동 744,962,Y,Y,Y,N,N,N,N,01,059.0000H,84.0000,118,315,43,130,87,21,31,3,0,52515,26257.5
2020000001,SH 마곡지구 9단지,서울특별시 강서구 마곡동 744,962,Y,Y,Y,N,N,N,N,02,084.0000H,117.0000,122,355,48,143,95,24,34,11,0,69750,34875.0
2020000001,SH 마곡지구 9단지,서울특별시 강서구 마곡동 744,962,Y,Y,Y,N,N,N,N,03,084.0000N,117.3500,12,40,5,15,10,3,7,0,0,67124,33562.0
2020000005,경북도청신도시 코오롱하늘채,경상북도 안동시 풍천면 갈전리 1177,869,N,N,N,N,N,N,N,06,074.9600B,99.3446,19,60,3,8,8,2,8,0,31,6100,3660.0
2020000005,경북도청신도시 코오롱하늘채,경상북도 안동시 풍천면 갈전리 1177,869,N,N,N,N,N,N,N,11,084.9750T,111.0531,7,15,1,2,2,0,2,0,8,7600,4560.0
2020000005,경북도청신도시 코오롱하늘채,경상북도 안동시 풍천면 갈전리 1177,869,N,N,N,N,N,N,N,10,084.9152B,112.1158,45,147,9,19,19,5,19,0,76,7900,4740.0
2020000005,경북도청신도시 코오롱하늘채,경상북도 안동시 풍천면 갈전리 1177,869,N,N,N,N,N,N,N,09,084.8636A,111.7368,47,163,10,21,21,6,21,0,84,7900,4740.0
2020000005,경북도청신도시 코오롱하늘채,경상북도 안동시 풍천면 갈전리 1177,869,N,N,N,N,N,N,N,08,077.7980 ,102.7478,8,16,1,2,2,0,2,0,9,6600,3960.0
2020000005,경북도청신도시 코오롱하늘채,경상북도 안동시 풍천면 갈전리 1177,869,N,N,N,N,N,N,N,07,077.8980 ,102.8715,5,20,1,3,3,0,3,0,10,6600,3960.0
2020000005,경북도청신도시 코오롱하늘채,경상북도 안동시 풍천면 갈전리 1177,869,N,N,N,N,N,N,N,04,074.9780 ,99.2593,20,56,3,7,7,2,7,0,30,6100,3660.0
2020000005,경북도청신도시 코오롱하늘채,경상북도 안동시 풍천면 갈전리 1177,869,N,N,N,N,N,N,N,05,074.9780A,99.2593,23,78,5,10,10,3,10,0,40,6100,3660.0
2020000005,경북도청신도시 코오롱하늘채,경상북도 안동시 풍천면 갈전리 1177,869,N,N,N,N,N,N,N,03,060.9808C,81.2477,14,38,2,5,5,1,5,0,20,3600,2160.0
2020000005,경북도청신도시 코오롱하늘채,경상북도 안동시 풍천면 갈전리 1177,869,N,N,N,N,N,N,N,02,060.9326B,81.0835,19,55,3,7,7,2,7,0,29,3600,2160.0
2020000005,경북도청신도시 코오롱하늘채,경상북도 안동시 풍천면 갈전리 1177,869,N,N,N,N,N,N,N,01,060.9358A,81.1546,6,8,0,1,1,0,1,0,5,3600,2160.0
2020000007,학성동 동남하이빌아파트,울산광역시 중구 구역전길 24-10 (학성동),69,N,N,N,N,N,N,N,03,084.8313C,111.2519,15,0,0,0,0,0,0,0,0,35500,21300.0
2020000007,학성동 동남하이빌아파트,울산광역시 중구 구역전길 24-10 (학성동),69,N,N,N,N,N,N,N,02,084.1366B,108.9053,15,0,0,0,0,0,0,0,0,35500,21300.0
